acc,f1_macro,f1_weighted,precision_macro,recall_macro,pr_auc,roc_auc,fpr,confusion,per_class_recall,model,task,test_set,train_s,n_train
0.9406741442450901,0.8036677940438316,0.9158958619344539,0.7812341428022079,0.8318804982618948,0.9965443565643679,0.992156619963474,,"[[655017, 5413, 0, 0, 0, 347, 0, 0, 0, 0], [0, 16962, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 26013, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 16809, 0, 0, 0, 0, 0, 0], [41203, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 29847, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]","{'Normal': np.float64(0.9912829895713683), 'F_I': np.float64(1.0), 'P_I': np.float64(1.0), 'M_F': np.float64(1.0), 'C_D': np.float64(0.0), 'C_R': np.float64(1.0)}",ET,unified_multi,tow,87.5,500000
0.14741287166185374,0.08559117219524397,0.22240487097293796,0.21021831640334207,0.3400364962298564,0.21186760574815544,0.6342835001625712,,"[[90294, 0, 0, 0, 0, 0, 121601, 178734, 154299, 133180], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1058, 0, 0, 0, 0, 0, 3829, 1392, 944, 889], [973, 0, 0, 0, 0, 0, 1252, 4052, 1125, 951], [1515, 0, 0, 0, 0, 0, 1000, 2702, 4356, 3801], [1515, 0, 0, 0, 0, 0, 1000, 2702, 4356, 3801]]","{'Normal': np.float64(0.13315578049514237), 'F_I': nan, 'P_I': nan, 'M_F': nan, 'C_D': nan, 'C_R': nan, 'EoE': np.float64(0.47201676528599606), 'EoV': np.float64(0.4850951753860888), 'MissReq': np.float64(0.32570659488559894), 'MissResp': np.float64(0.2842081650964558)}",ET,unified_multi,someip,87.5,500000
0.9163212739590532,0.6398258353159335,0.8815537303750021,0.8146636864742796,0.6246884637275559,0.928241315555843,0.9957329859429787,,"[[660550, 5, 0, 0, 0, 222, 0, 0, 0, 0], [16511, 451, 0, 0, 0, 0, 0, 0, 0, 0], [6, 0, 26007, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 16809, 0, 0, 0, 0, 0, 0], [41203, 0, 0, 0, 0, 0, 0, 0, 0, 0], [8294, 0, 0, 0, 0, 21553, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]","{'Normal': np.float64(0.9996564650403994), 'F_I': np.float64(0.026588845654993514), 'P_I': np.float64(0.9997693460961827), 'M_F': np.float64(1.0), 'C_D': np.float64(0.0), 'C_R': np.float64(0.7221161255737595)}",XGB,unified_multi,tow,168.5,500000
0.9400613596443192,0.19391657308034232,0.9110529601942984,0.2213518278466739,0.2000408084682453,0.2191356910997186,0.6969413279648151,,"[[678084, 0, 0, 0, 0, 0, 14, 10, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [8112, 0, 0, 0, 0, 0, 0, 0, 0, 0], [8351, 0, 0, 0, 0, 0, 0, 2, 0, 0], [13374, 0, 0, 0, 0, 0, 0, 0, 0, 0], [13374, 0, 0, 0, 0, 0, 0, 0, 0, 0]]","{'Normal': np.float64(0.9999646074076696), 'F_I': nan, 'P_I': nan, 'M_F': nan, 'C_D': nan, 'C_R': nan, 'EoE': np.float64(0.0), 'EoV': np.float64(0.00023943493355680593), 'MissReq': np.float64(0.0), 'MissResp': np.float64(0.0)}",XGB,unified_multi,someip,168.5,500000
0.9495989823284416,0.7249370176854394,0.9306907302706003,0.8218605047751074,0.7057126690522543,0.9785936655427534,0.994343130402871,,"[[660692, 0, 0, 0, 0, 85, 0, 0, 0, 0], [16962, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 26013, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 16809, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 41202, 0, 0, 0, 0, 0], [22850, 0, 0, 0, 0, 6997, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]","{'Normal': np.float64(0.9998713635613831), 'F_I': np.float64(0.0), 'P_I': np.float64(1.0), 'M_F': np.float64(1.0), 'C_D': np.float64(0.9999757299225784), 'C_R': np.float64(0.2344289208295641)}",LGBM,unified_multi,tow,72.8,500000
0.9385654930329216,0.19749599137336382,0.9105288156861882,0.22527445643952024,0.20170820619904486,0.21599723424718772,0.6810848661001139,,"[[676921, 0, 0, 0, 0, 0, 650, 313, 145, 79], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [8048, 0, 0, 0, 0, 0, 62, 2, 0, 0], [8329, 0, 0, 0, 0, 0, 0, 19, 2, 3], [13367, 0, 0, 0, 0, 0, 1, 1, 3, 2], [13367, 0, 0, 0, 0, 0, 1, 1, 3, 2]]","{'Normal': np.float64(0.9982495413709911), 'F_I': nan, 'P_I': nan, 'M_F': nan, 'C_D': nan, 'C_R': nan, 'EoE': np.float64(0.007642998027613412), 'EoV': np.float64(0.0022746318687896566), 'MissReq': np.float64(0.00022431583669807088), 'MissResp': np.float64(0.00014954389113204725)}",LGBM,unified_multi,someip,72.8,500000
0.9147548480251032,0.6282370816391047,0.8790584816848038,0.8044004962401452,0.6152114762497605,0.9318084659644054,0.996257704251358,,"[[660690, 2, 0, 0, 0, 85, 0, 0, 0, 0], [16938, 24, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 26013, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 16809, 0, 0, 0, 0, 0, 0], [41203, 0, 0, 0, 0, 0, 0, 0, 0, 0], [9253, 0, 0, 0, 0, 20594, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]","{'Normal': np.float64(0.9998683368216509), 'F_I': np.float64(0.0014149274849663955), 'P_I': np.float64(1.0), 'M_F': np.float64(1.0), 'C_D': np.float64(0.0), 'C_R': np.float64(0.6899855931919456)}",VoteEns,unified_multi,tow,278.8,500000
0.9397175460024039,0.19526601624477619,0.9109581554699506,0.22333045070223917,0.2006719666887086,0.21863619292783065,0.6833789118934819,,"[[677807, 0, 0, 0, 0, 0, 219, 66, 9, 7], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [8086, 0, 0, 0, 0, 0, 26, 0, 0, 0], [8348, 0, 0, 0, 0, 0, 0, 5, 0, 0], [13374, 0, 0, 0, 0, 0, 0, 0, 0, 0], [13374, 0, 0, 0, 0, 0, 0, 0, 0, 0]]","{'Normal': np.float64(0.9995561179045226), 'F_I': nan, 'P_I': nan, 'M_F': nan, 'C_D': nan, 'C_R': nan, 'EoE': np.float64(0.003205128205128205), 'EoV': np.float64(0.0005985873338920149), 'MissReq': np.float64(0.0), 'MissResp': np.float64(0.0)}",VoteEns,unified_multi,someip,278.8,500000
0.9133564339050367,0.6408828008606939,0.8796772450366522,0.7238424974627184,0.6198318102855852,0.8440985732325971,0.8910741558962497,,"[[659396, 1173, 0, 0, 0, 208, 0, 0, 0, 0], [16018, 944, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 26013, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 16809, 0, 0, 0, 0, 0, 0], [41203, 0, 0, 0, 0, 0, 0, 0, 0, 0], [9986, 0, 0, 0, 0, 19861, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]","{'Normal': np.float64(0.9979100362149409), 'F_I': np.float64(0.05565381440867822), 'P_I': np.float64(1.0), 'M_F': np.float64(1.0), 'C_D': np.float64(0.0), 'C_R': np.float64(0.6654270110898918)}",StackEns,unified_multi,tow,715.8,500000
0.9270006002875281,0.21282739627299185,0.9055782152402725,0.20555051221059797,0.22152607221142934,0.21653385670680078,0.6792884056064767,,"[[667667, 0, 0, 0, 0, 0, 10441, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [7114, 0, 0, 0, 0, 0, 998, 0, 0, 0], [8349, 0, 0, 0, 0, 0, 4, 0, 0, 0], [13374, 0, 0, 0, 0, 0, 0, 0, 0, 0], [13374, 0, 0, 0, 0, 0, 0, 0, 0, 0]]","{'Normal': np.float64(0.984602747644918), 'F_I': nan, 'P_I': nan, 'M_F': nan, 'C_D': nan, 'C_R': nan, 'EoE': np.float64(0.1230276134122288), 'EoV': np.float64(0.0), 'MissReq': np.float64(0.0), 'MissResp': np.float64(0.0)}",StackEns,unified_multi,someip,715.8,500000
